#,공급사,과세/면세,담기,매입가,상품명(기본),상품코드,재입고알림,제조사,카테고리,판매가,품절여부,후기
1,패커스,과세,0,55440,"실링용기 71호 백색 2,200ml 400개 1박스",2184,사용함,자체제작,"018 : 실링용기
018002 : 실링용기 > 2319(2318)시리즈
042 : 실링제품
042001 : 실링제품 > 실링용기
061 : vol.4 Catalogue
061012 : vol.4 Catalogue > 카달로그_12",77480,정상,0
2,(주)니드코,과세,0,3080,"니드코]국산제품 정식쟁반,병원식판,분식점 돈까스쟁반 업소용 화이트 항균아트쟁반 5호",2181,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007002 : 주방용품/소모품 > 주방용품 > 쟁반",4950,정상,0
3,(주)니드코,과세,10,1120,"니드코]QueenRose 장미 밥공기그릇 /중국집,주방,식당,가정용 깨지지 않는 단단한 멜라민그릇",2180,사용함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007004 : 주방용품/소모품 > 주방용품 > 식기",1800,정상,0
4,(주)니드코,과세,0,5600,니드코 터치미 종이컵디스펜서(자석형) 종이컵보관함,2179,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",9000,정상,0
5,(주)니드코,과세,0,42000,니드코 뉴카멜리아 사각수저함(수저통),2178,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046007 : 주방용품/소모품 > 주방용품
046007009 : 주방용품/소모품 > 주방용품 > 기타",65000,정상,0
6,(주)니드코,과세,1,560,니드코 뉴카멜리아 파스텔 프리미엄요지통(이쑤시개포함),2177,사용안함,(주)니드코,"002 : 주방용품
002002 : 주방용품 > 주방용품
046 : 주방용품/소모품
046010 : 주방용품/소모품 > 주방잡화
046010003 : 주방용품/소모품 > 주방잡화 > 기타",900,정상,0
7,패커스,과세,0,150000,해농 김밥김 200g x 100매 20개 (박스상품),2176,사용안함,,"050 : 식자재
050001 : 식자재 > 한식 식자재
050001012 : 식자재 > 한식 식자재 > 김
026 : NEW
026010 : NEW > 식자재
026010001 : NEW > 식자재 > 한식 식자재
026010001012 : NEW > 식자재 > 한식 식자재 > 김",159600,정상,0
8,패커스,과세,0,21000,미소크린 점보롤 140cm x 16롤 (박스상품),2175,사용안함,,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009002 : 주방용품/소모품 > 일회용품 > 냅킨/물티슈",23000,정상,0
9,패커스,과세,0,22500,미소크린 점보롤 180cm x 16롤 (박스상품),2174,사용안함,,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009002 : 주방용품/소모품 > 일회용품 > 냅킨/물티슈",24800,정상,0
10,패커스,과세,0,11000,미소크린 위생식탁보 90cm x 130xm 300매 (박스상품),2173,사용안함,,"046 : 주방용품/소모품
046009 : 주방용품/소모품 > 일회용품
046009002 : 주방용품/소모품 > 일회용품 > 냅킨/물티슈",12100,정상,0
