,날짜,PM10,PM2.5,오존,이산화질소,일산화탄소,아황산가스,year,month,day,time,min,datetime
0,2022-01-01 01:00:00,25,10,0.016,0.024,0.4,0.003,2022,01,01,01,00,2022-01-01 01:00:00
1,2022-01-01 02:00:00,20,10,0.022,0.019,0.4,0.003,2022,01,01,02,00,2022-01-01 02:00:00
2,2022-01-01 03:00:00,19,13,0.022,0.020,0.4,0.003,2022,01,01,03,00,2022-01-01 03:00:00
3,2022-01-01 04:00:00,20,11,0.013,0.028,0.5,0.003,2022,01,01,04,00,2022-01-01 04:00:00
4,2022-01-01 05:00:00,21,16,0.011,0.032,0.5,0.003,2022,01,01,05,00,2022-01-01 05:00:00
5,2022-01-01 06:00:00,19,11,0.010,0.032,0.5,0.003,2022,01,01,06,00,2022-01-01 06:00:00
6,2022-01-01 07:00:00,19,11,0.006,0.040,0.6,0.003,2022,01,01,07,00,2022-01-01 07:00:00
7,2022-01-01 08:00:00,24,15,0.004,0.045,0.7,0.003,2022,01,01,08,00,2022-01-01 08:00:00
8,2022-01-01 09:00:00,24,16,0.013,0.037,0.6,0.003,2022,01,01,09,00,2022-01-01 09:00:00
9,2022-01-01 10:00:00,24,13,0.017,0.025,0.5,0.003,2022,01,01,10,00,2022-01-01 10:00:00
10,2022-01-01 11:00:00,26,15,0.024,0.017,0.4,0.004,2022,01,01,11,00,2022-01-01 11:00:00
11,2022-01-01 12:00:00,23,13,0.018,0.027,0.5,0.003,2022,01,01,12,00,2022-01-01 12:00:00
12,2022-01-01 13:00:00,29,15,0.018,0.031,0.5,0.003,2022,01,01,13,00,2022-01-01 13:00:00
13,2022-01-01 14:00:00,33,20,0.021,0.031,0.5,0.003,2022,01,01,14,00,2022-01-01 14:00:00
14,2022-01-01 15:00:00,33,24,0.023,0.030,0.5,0.004,2022,01,01,15,00,2022-01-01 15:00:00
15,2022-01-01 16:00:00,30,19,0.023,0.031,0.5,0.004,2022,01,01,16,00,2022-01-01 16:00:00
16,2022-01-01 17:00:00,33,20,0.015,0.040,0.5,0.003,2022,01,01,17,00,2022-01-01 17:00:00
17,2022-01-01 18:00:00,34,21,0.011,0.045,0.5,0.003,2022,01,01,18,00,2022-01-01 18:00:00
18,2022-01-01 19:00:00,37,27,0.011,0.052,0.6,0.004,2022,01,01,19,00,2022-01-01 19:00:00
19,2022-01-01 20:00:00,38,27,0.006,0.054,0.7,0.004,2022,01,01,20,00,2022-01-01 20:00:00
20,2022-01-01 21:00:00,41,25,0.012,0.056,0.8,0.004,2022,01,01,21,00,2022-01-01 21:00:00
21,2022-01-01 22:00:00,38,25,0.005,0.056,0.8,0.004,2022,01,01,22,00,2022-01-01 22:00:00
22,2022-01-01 23:00:00,40,27,0.005,0.058,0.9,0.004,2022,01,01,23,00,2022-01-01 23:00:00
23,2022-01-02 00:00:00,39,26,0.005,0.059,0.9,0.004,2022,01,01,00,00,2022-01-01 00:00:00
24,2022-01-02 01:00:00,38,28,0.004,0.054,0.8,0.004,2022,01,02,01,00,2022-01-02 01:00:00
25,2022-01-02 02:00:00,36,24,0.004,0.054,0.8,0.004,2022,01,02,02,00,2022-01-02 02:00:00
26,2022-01-02 03:00:00,35,25,0.006,0.052,0.8,0.004,2022,01,02,03,00,2022-01-02 03:00:00
27,2022-01-02 04:00:00,35,25,0.005,0.049,0.7,0.004,2022,01,02,04,00,2022-01-02 04:00:00
28,2022-01-02 05:00:00,35,25,0.008,0.045,0.6,0.004,2022,01,02,05,00,2022-01-02 05:00:00
29,2022-01-02 06:00:00,34,25,0.011,0.042,0.5,0.004,2022,01,02,06,00,2022-01-02 06:00:00
30,2022-01-02 07:00:00,36,27,0.008,0.042,0.5,0.003,2022,01,02,07,00,2022-01-02 07:00:00
31,2022-01-02 08:00:00,36,24,0.005,0.046,0.6,0.003,2022,01,02,08,00,2022-01-02 08:00:00
32,2022-01-02 09:00:00,39,29,0.007,0.044,0.6,0.003,2022,01,02,09,00,2022-01-02 09:00:00
33,2022-01-02 10:00:00,38,27,0.007,0.043,0.7,0.003,2022,01,02,10,00,2022-01-02 10:00:00
34,2022-01-02 11:00:00,45,33,0.012,0.035,0.6,0.003,2022,01,02,11,00,2022-01-02 11:00:00
35,2022-01-02 12:00:00,56,46,0.013,0.020,0.6,0.003,2022,01,02,12,00,2022-01-02 12:00:00
36,2022-01-02 13:00:00,62,49,0.025,0.018,0.6,0.004,2022,01,02,13,00,2022-01-02 13:00:00
37,2022-01-02 14:00:00,61,47,0.031,0.015,0.5,0.004,2022,01,02,14,00,2022-01-02 14:00:00
38,2022-01-02 15:00:00,49,37,0.038,0.012,0.5,0.004,2022,01,02,15,00,2022-01-02 15:00:00
39,2022-01-02 16:00:00,32,23,0.038,0.011,0.4,0.004,2022,01,02,16,00,2022-01-02 16:00:00
40,2022-01-02 17:00:00,31,24,0.038,0.013,0.4,0.004,2022,01,02,17,00,2022-01-02 17:00:00
41,2022-01-02 18:00:00,28,19,0.033,0.016,0.4,0.004,2022,01,02,18,00,2022-01-02 18:00:00
42,2022-01-02 19:00:00,24,14,0.027,0.020,0.4,0.003,2022,01,02,19,00,2022-01-02 19:00:00
43,2022-01-02 20:00:00,23,14,0.020,0.026,0.5,0.003,2022,01,02,20,00,2022-01-02 20:00:00
44,2022-01-02 21:00:00,24,17,0.020,0.028,0.5,0.004,2022,01,02,21,00,2022-01-02 21:00:00
45,2022-01-02 22:00:00,24,15,0.021,0.024,0.5,0.003,2022,01,02,22,00,2022-01-02 22:00:00
46,2022-01-02 23:00:00,24,17,0.020,0.026,0.5,0.004,2022,01,02,23,00,2022-01-02 23:00:00
47,2022-01-03 00:00:00,23,14,0.016,0.030,0.5,0.003,2022,01,02,00,00,2022-01-02 00:00:00
48,2022-01-03 01:00:00,23,15,0.015,0.031,0.5,0.003,2022,01,03,01,00,2022-01-03 01:00:00
49,2022-01-03 02:00:00,22,15,0.019,0.031,0.5,0.003,2022,01,03,02,00,2022-01-03 02:00:00
50,2022-01-03 03:00:00,23,15,0.017,0.030,0.5,0.003,2022,01,03,03,00,2022-01-03 03:00:00
51,2022-01-03 04:00:00,22,14,0.009,0.038,0.5,0.003,2022,01,03,04,00,2022-01-03 04:00:00
52,2022-01-03 05:00:00,24,12,0.013,0.035,0.6,0.003,2022,01,03,05,00,2022-01-03 05:00:00
53,2022-01-03 06:00:00,18,13,0.009,0.039,0.6,0.002,2022,01,03,06,00,2022-01-03 06:00:00
54,2022-01-03 07:00:00,17,13,0.010,0.044,0.6,0.003,2022,01,03,07,00,2022-01-03 07:00:00
55,2022-01-03 08:00:00,19,12,0.008,0.046,0.6,0.003,2022,01,03,08,00,2022-01-03 08:00:00
56,2022-01-03 09:00:00,19,16,0.010,0.050,0.8,0.004,2022,01,03,09,00,2022-01-03 09:00:00
57,2022-01-03 10:00:00,26,16,0.009,0.049,0.8,0.004,2022,01,03,10,00,2022-01-03 10:00:00
58,2022-01-03 11:00:00,36,25,0.010,0.051,0.8,0.004,2022,01,03,11,00,2022-01-03 11:00:00
59,2022-01-03 12:00:00,35,23,0.013,0.048,0.7,0.004,2022,01,03,12,00,2022-01-03 12:00:00
60,2022-01-03 13:00:00,32,20,0.015,0.041,0.6,0.004,2022,01,03,13,00,2022-01-03 13:00:00
61,2022-01-03 14:00:00,0,0,0,0,0,0,2022,01,03,14,00,2022-01-03 14:00:00
62,2022-01-03 15:00:00,0,0,0,0,0,0,2022,01,03,15,00,2022-01-03 15:00:00
